in:Iteration,name,out:Surprise,out:Daylighting,out:Landmark View,out:Comfort,out:Energy Efficiency,out:#Towers,out:#Extrusions,out:#Industrial,out:#Courtyards,out:#Bar Bldgs,out:#Small Mid,out:#Infill,out:GFA,out:Street Area
13402,Design Space,0.6,49.51,101231,508,0,0,1,0,0,0,0,428,2251636,232831
78938,Design Space,0.63,52.94,171177,363,18.95,0,1,0,8,20,2,236,2259047,308026
16476,Design Space,0.64,53.32,164914,352,0,0,1,0,10,21,2,223,2207911,297798
46171,Design Space,0.54,51.12,165295,353,21.08,0,1,0,6,35,10,217,2158162,306220
69724,Design Space,0.55,58.73,192940,405,14.48,0,1,1,32,64,6,0,3380871,210631
7778,Design Space,0.43,57.84,167176,487,0,0,1,2,53,46,7,11,3335788,181456
56931,Design Space,0.6,49.29,101676,519,0,0,1,0,0,0,0,425,2271686,231224
41571,Design Space,0.61,59.87,239976,352,0,9,4,1,14,50,5,47,2.80E+06,271833
73319,Design Space,0.63,54.73,171205,358,0,1,1,0,10,22,3,212,2.24E+06,293826
51305,Design Space,0.6,51.7,134584,410,21.88,0,1,0,10,16,1,290,2237437,248183
42602,Design Space,0.45,52.82,159350,469,16.61,0,1,1,19,74,16,62,3231908,197901
26730,Design Space,0.45,56.85,158780,462,0,0,1,0,24,71,21,32,3221665,201334
5740,Design Space,0.61,49.17,98894,514,24.64,0,1,0,0,0,0,429,2246380,225197
28780,Design Space,0.57,57.42,255818,399,15.18,16,6,0,8,15,1,180,2.79E+06,266366
80495,Design Space,0.57,50.4,165861,445,18.02,0,1,1,15,29,3,217,2797735,235014
21105,Design Space,0.62,48.8,158423,407,20.39,0,1,0,1,3,0,356,2231567,298152
34931,Design Space,0.59,59.64,256011,357,0,12,5,1,13,41,3,75,2.78E+06,277143
66164,Design Space,0.59,47.51,112408,544,20.06,0,1,0,9,17,0,327,2810012,203782
1657,Design Space,0.6,49.23,109642,463,24.32,0,1,0,2,13,0,368,2240956,235798
48764,Design Space,0.55,64.89,345155,367,0,26,12,1,15,33,3,0,3.36E+06,270101
45692,Design Space,0.49,70,349706,383,11.59,27,1,1,18,37,0,0,3.40E+06,263391
13439,Design Space,0.58,53.55,158279,446,16.52,0,1,0,29,77,3,17,3415678,171471
85122,Design Space,0.57,54.4,155270,457,15.92,0,1,0,33,71,5,17,3415768,166513
4738,Design Space,0.55,56.54,134650,512,0,0,1,2,39,62,5,17,3393419,143995
31364,Design Space,0.6,52.48,156811,386,20.19,0,1,0,10,15,1,261,2206221,278619
74374,Design Space,0.59,51.32,122680,512,19.87,4,1,0,14,24,1,261,2.77E+06,198542
6284,Design Space,0.59,47.63,122024,554,19.42,0,1,0,9,9,0,353,2807124,211817
45709,Design Space,0.55,58.73,192940,405,14.48,0,1,1,32,64,6,0,3380871,210631
61715,Design Space,0.58,49.71,163623,440,18.09,0,1,1,15,29,4,213,2784220,233882
28304,Design Space,0.54,50.43,163324,352,21.16,0,1,0,6,34,11,221,2145373,306092
75927,Design Space,0.62,51.74,166309,369,20.13,0,1,0,6,21,4,243,2242181,299665
37531,Design Space,0.63,52.56,162817,365,0,0,1,0,8,22,4,228,2247953,296787
75932,Design Space,0.6,50.25,96456,506,24.55,0,1,0,3,8,0,382,2251792,223412
68254,Design Space,0.35,54.9,117444,547,14.57,0,1,0,53,49,5,34,3338778,152251
61600,Design Space,0.59,50.26,117415,514,0,4,1,0,14,24,1,263,2.77E+06,190190
21667,Design Space,0.59,52.61,205373,401,16,3,2,0,15,29,1,167,2.80E+06,264138
78501,Design Space,0.53,50.39,166868,361,19.21,0,1,1,13,23,13,212,2155880,303746
44710,Design Space,0.6,49.75,101242,507,24.11,0,1,0,0,0,0,428,2246195,232831
60581,Design Space,0.59,47.72,109681,540,20.23,0,1,0,10,20,0,312,2797743,200449
40104,Design Space,0.59,48.29,127803,475,0,0,1,0,15,31,1,245,2771240,210274
7849,Design Space,0.6,53.22,156479,382,0,0,1,0,12,17,1,246,2209571,275674
8363,Design Space,0.57,53.04,199445,442,16.9,9,2,1,13,17,2,223,2.82E+06,235245
12974,Design Space,0.6,49.1,98102,502,24.6,0,1,0,0,5,0,414,2243982,230730
32942,Design Space,0.58,48.84,106216,522,20.51,0,1,0,13,26,1,279,2784715,193151
85167,Design Space,0.59,48.86,115199,532,20.18,0,1,0,11,24,0,293,2801566,205177
67251,Design Space,0.59,51.32,122680,512,19.86,4,1,0,14,24,1,261,2.77E+06,198542
81079,Design Space,0.6,40.91,89133,500,26.39,0,1,0,0,0,0,450,2226356,196744
42679,Design Space,0.58,57.42,255818,399,15.18,16,6,0,8,15,1,180,2.79E+06,266366
7354,Design Space,0.58,46.8,124892,560,19.41,0,1,0,6,4,0,383,2812903,217665
2234,Design Space,0.42,64.12,227645,430,11.4,1,2,0,43,39,1,0,3.29E+06,230481
66748,Design Space,0.49,60.96,228772,420,12.43,3,1,1,44,44,0,0,3.36E+06,227301
53951,Design Space,0.33,56.37,114726,566,0,0,1,2,51,57,1,9,3375048,136510
5824,Design Space,0.59,49.68,162454,402,20.29,0,1,0,5,8,1,317,2237490,289097
51393,Design Space,0.61,52.37,95073,477,24.26,0,1,0,11,16,1,320,2248541,212181
16577,Design Space,0.6,47.21,137556,445,21.93,0,1,0,0,0,0,402,2260977,268225
2754,Design Space,0.59,49.8,119587,526,19.38,0,1,0,13,21,1,293,2800318,206215
74440,Design Space,0.56,58.97,228706,389,13.36,0,1,2,33,58,4,0,3361136,228075
19148,Design Space,0.62,51.74,166309,369,20.13,0,1,0,6,21,4,243,2242181,299665
73937,Design Space,0.58,49.54,161357,440,18.11,0,1,1,15,29,4,213,2772498,233882
56532,Design Space,0.48,60.7,203038,411,0,0,1,0,56,26,0,0,3359524,216965
20183,Design Space,0.57,54.38,136167,505,16.29,0,1,1,37,66,4,31,3387411,145920
56024,Design Space,0.61,48.77,96839,512,24.82,0,1,0,0,0,0,433,2245721,225460
8921,Design Space,0.59,47.96,115225,528,19.74,0,1,0,11,20,1,312,2793522,202504
87260,Design Space,0.6,41.85,88202,502,25.72,0,1,0,2,2,0,433,2254773,195333
